index,lat1,lat2,lon1,lon2,score
0,34.792,34.8,135.4,135.408,254.33969406162504
1,34.792,34.8,135.408,135.416,202.73225024140032
2,34.792,34.8,135.416,135.424,184.13799054585843
3,34.792,34.8,135.424,135.432,211.03241511682776
4,34.792,34.8,135.432,135.44,170.11746160629252
5,34.792,34.8,135.44,135.448,158.0482810660472
6,34.792,34.8,135.448,135.456,66.01487838004691
7,34.792,34.8,135.456,135.464,67.81880709860339
8,34.792,34.8,135.464,135.472,66.16757229692394
9,34.792,34.8,135.472,135.48,63.49405396538998
10,34.792,34.8,135.48,135.488,155.38310513464566
11,34.792,34.8,135.488,135.496,61.17745408060284
12,34.792,34.8,135.496,135.504,57.641066798370176
13,34.792,34.8,135.504,135.512,54.98052058043025
14,34.792,34.8,135.512,135.52,51.4892103328783
15,34.792,34.8,135.52,135.528,184.3891338157024
16,34.792,34.8,135.528,135.536,181.9499426210748
17,34.792,34.8,135.536,135.544,51.2517244371177
18,34.792,34.8,135.544,135.552,51.723960469121636
19,34.792,34.8,135.552,135.56,107.37009098156662
20,34.792,34.8,135.56,135.568,142.0076333687968
21,34.792,34.8,135.568,135.576,47.30788272471909
22,34.792,34.8,135.576,135.584,175.43911547113652
23,34.792,34.8,135.584,135.592,181.09912505404063
24,34.792,34.8,135.592,135.6,180.45078538078485
25,34.792,34.8,135.6,135.608,181.11636498747305
26,34.792,34.8,135.608,135.616,180.30434889580437
27,34.792,34.8,135.616,135.624,176.65327148364338
28,34.792,34.8,135.624,135.632,145.33519255125327
29,34.792,34.8,135.632,135.64,145.6492542060667
30,34.792,34.8,135.64,135.648,55.552012391512804
31,34.792,34.8,135.648,135.656,178.4073642084688
32,34.792,34.8,135.656,135.664,117.47264392446755
33,34.792,34.8,135.664,135.672,65.63840552192464
34,34.792,34.8,135.672,135.68,125.87829877675162
35,34.792,34.8,135.68,135.688,67.12362712650463
36,34.792,34.8,135.688,135.696,189.60814999900992
37,34.792,34.8,135.696,135.704,71.62191909314066
38,34.792,34.8,135.704,135.712,163.54753715861006
39,34.792,34.8,135.712,135.72,157.67789719103834
40,34.792,34.8,135.72,135.728,151.7759941679024
41,34.792,34.8,135.728,135.736,126.7464256611158
42,34.792,34.8,135.736,135.744,160.11478154848615
43,34.792,34.8,135.744,135.752,162.94892919934728
44,34.792,34.8,135.752,135.76,162.3135428097474
45,34.792,34.8,135.76,135.768,160.1813963374324
46,34.792,34.8,135.768,135.776,163.90086187038108
47,34.792,34.8,135.776,135.784,170.30581176409504
48,34.792,34.8,135.784,135.792,186.6843799390115
49,34.792,34.8,135.792,135.8,214.48490377745668
50,34.784,34.792,135.4,135.408,155.96038589346443
51,34.784,34.792,135.408,135.416,161.2000471916411
52,34.784,34.792,135.416,135.424,161.82976896799207
53,34.784,34.792,135.424,135.432,173.05309397839574
54,34.784,34.792,135.432,135.44,144.16355173952763
55,34.784,34.792,135.44,135.448,114.69653832820156
56,34.784,34.792,135.448,135.456,36.17061890868459
